MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,NIFTYBEES,NIP IND ETF NIFTY BEES,       276.69,       278.99,       278.99,       274.50,       277.53,               1536118098.34,5554110,50788,       293.99,       208.36,NIFTY 50
N,EQ,NIFTYBETF,BFAM - NIFTYBETF,       249.55,       249.56,       251.36,       247.09,       251.17,                 15705167.29,62552,98,       273.52,       215.04,NIFTY 50 INDEX
N,EQ,NIFTYETF,MIRAEAMC - MAN50ETF,       263.91,       263.99,       266.97,       261.66,       264.91,                148311020.73,564427,1341,       283.80,       198.94,NIFTY 50
N,EQ,NIFTYIETF,ICICI PRUD NIFTY ETF,       275.00,       274.75,       285.00,       272.93,       276.61,                589013539.11,2133644,9315,       295.30,       207.20,NIFTY50
N,EQ,NIFTYQLITY,BIRLASLAMC - NIFTYQLITY,        23.30,        24.62,        24.62,        22.80,        22.90,                  9052975.18,395312,3275,        25.10,        15.99,NIFTY 200 QUALITY 30
N,EQ,NPBET,TATAAML - NPBET,       261.28,       261.28,       267.72,       259.88,       267.00,                  2824319.78,10587,56,       299.00,       224.35,NIFTY PRIVATE BANK INDEX
N,EQ,NV20,KOTAKMAMC - KTKNV20ETF,       160.70,       161.94,       161.94,       159.80,       161.37,                  1852388.29,11552,232,       167.10,       112.36,NIFTY50 VALUE 20
N,EQ,NV20BEES,NIP IND ETF ETF NV20,       161.71,       162.95,       162.95,       159.66,       161.73,                  1757138.66,10933,469,       175.00,       112.20,NIFTY50 VALUE 20
N,EQ,NV20IETF,ICICI PRUDENTIAL NV20 ETF,        15.76,        16.25,        16.25,        15.53,        15.77,                  7486292.51,477352,3380,       141.30,        12.85,NIFTY50 VALUE 20
N,EQ,OILIETF,ICICIPRAMC - OILIETF,        12.21,        12.28,        12.28,        12.00,        12.19,                 36391213.72,3006113,4973,        14.00,        12.00,NIFTY OIL & GAS INDEX
N,EQ,PHARMABEES,NIPPONAMC - NETFPHARMA,        23.74,        23.84,        23.87,        23.50,        23.81,                 50686653.22,2135364,10478,        24.53,        14.45,NIFTY PHARMA INDEX
N,EQ,PSUBANK,KOTAK PSU BANK,       658.99,       646.10,       665.80,       646.10,       665.44,                 13563309.49,20478,371,       896.99,       462.39,NIFTY PSU BANK INDEX
N,EQ,PSUBANKADD,DSPAMC - DSPPSBKETF,        66.04,        66.00,        66.90,        65.12,        66.64,                   258128.39,3892,116,        82.90,        45.00,NIFTY PSU BANK INDEX
N,EQ,PSUBNKBEES,NIP IND ETF PSU BANK BEES,        73.33,        73.00,        74.45,        72.51,        74.17,                105058306.92,1423172,5207,        90.30,        51.62,NIFTY PSU BANK INDEX
N,EQ,PSUBNKIETF,ICICIPRAMC - PSUBANKICI,        66.49,        68.50,        68.50,        65.74,        67.38,                  7120501.29,106923,991,        86.70,        46.62,NIFTY PSU BANK INDEX
N,EQ,PVTBANIETF,ICICIPRAMC - ICICIBANKP,        25.63,        25.76,        26.22,        25.55,        26.12,                 51005465.12,1963404,3276,       251.10,        22.65,NIFTY PRIVATE BANK INDEX
N,EQ,PVTBANKADD,DSPAMC - DSPPVBKETF,        25.69,        25.97,        26.28,        25.61,        26.22,                  1388291.81,53201,448,        31.00,        21.75,NIFTY PRIVATE BANK INDEX
N,EQ,QGOLDHALF,QUANTUM GOLD FUND,        64.20,        64.69,        64.98,        64.36,        64.93,                 12968088.25,199797,585,        66.00,        49.41,GOLD
N,EQ,QNIFTY,QUANTUM NIFTY 50 ETF,      2673.15,      2726.61,      2726.61,      2652.00,      2682.62,                  3748122.90,1400,84,      2884.51,      2016.00,NIFTY 50
N,EQ,QUAL30IETF,ICICIPRAMC - ICICIQTY30,        22.76,        22.75,        23.00,        22.55,        22.69,                 16712283.30,737206,819,       227.00,        18.66,NIFTY200 QUALITY 30 INDEX
N,EQ,SBIETFCON,SBIAMC - SBIETFCON,       123.56,       124.96,       124.96,       122.00,       123.13,                  1464487.64,11901,434,       136.00,        83.66,NIFTY INDIA CONSUMPTION INDEX
N,EQ,SBIETFIT,SBIAMC - SBIETFIT,       455.45,       453.96,       454.99,       445.16,       449.19,                  4062651.53,9045,338,       473.25,       317.00,NIFTY IT INDEX
N,EQ,SBIETFPB,SBIAMC - SBIETFPB,       258.66,       258.51,       264.00,       258.01,       263.58,                  1957703.32,7476,156,       277.20,       221.00,NIFTY PRIVATE BANK INDEX
N,EQ,SBIETFQLTY,SBIAMC - SBIETFQLTY,       240.85,       240.86,       240.86,       238.05,       238.88,                  1215846.35,5089,191,       257.15,       168.31,NIFTY 200 QUALITY 30 INDEX
N,EQ,SBINEQWETF,SBIAMC - SBINEQWETF,        31.84,        32.45,        32.45,        31.27,        31.95,                   670768.01,21073,215,        34.57,        30.00,NIFTY50 EQUAL WEIGHT INDEX
N,EQ,SBISILVER,SBIAMC - SBISILVER,        90.45,        91.07,        92.16,        90.72,        91.76,                  6007445.99,65464,451,        94.25,        79.07,SILVER
N,EQ,SDL26BEES,RELCAPAMC-NETFSDL26,       125.17,       124.81,       125.17,       124.62,       125.10,                   388969.63,3112,37,       128.50,       112.00,NIFTY SDL APR 2026 TOP 20 EQUAL WEIGHT
N,EQ,SENSEXADD,DSPAMC - DSPSENXETF,        82.28,        82.28,        82.39,        81.45,        82.33,                    46986.56,573,70,        95.00,        63.13,S&P BSE SENSEX INDEX
N,EQ,SENSEXETF,MIRAEAMC - SENSEXETF,        82.01,        81.80,        83.77,        81.39,        82.30,                   954307.04,11642,228,       100.00,        62.27,S&P BSE SENSEX
N,EQ,SENSEXIETF,ICICI PRUD SENSEX ETF,       914.16,       914.59,       924.00,       905.54,       917.62,                  2679771.05,2939,299,       980.00,       704.10,SENSEX
N,EQ,SETF10GILT,SBIAMC - SETF10GILT,       239.98,       239.71,       239.97,       239.11,       239.81,                 28062598.07,117328,63,       267.00,       213.80,NIFTY 10 YR BENCHMARK G-SEC INDEX
N,EQ,SETFGOLD,SBI-ETF GOLD,        66.38,        66.65,        67.20,        66.62,        67.15,                130339503.19,1943372,3344,        67.50,        51.36,GOLD
N,EQ,SETFNIF50,SBI-ETF NIFTY 50,       261.36,       261.00,       262.80,       259.14,       262.64,                172883988.29,660581,5134,       277.25,       196.90,NIFTY 50
N,EQ,SETFNIFBK,SBI-ETF NIFTY BANK,       522.13,       523.99,       531.79,       518.85,       531.50,                 36639539.03,69331,772,       554.30,       426.45,NIFTY BANK
N,EQ,SETFNN50,SBI-ETF NIFTY NEXT 50,       782.89,       782.88,       787.00,       775.30,       785.81,                 32337481.55,41362,2616,       825.60,       445.65,NIFTY NEXT 50
N,EQ,SHARIABEES,NIP IND ETF SHARIAH BEES,       583.83,       576.54,       587.50,       568.10,       579.03,                  4033654.03,7022,630,       617.70,       421.06,SHARIAH INDEX
N,EQ,SILVER,BIRLASLAMC - SILVER,        92.03,        92.47,        93.44,        92.47,        93.26,                  8828261.26,94855,745,        96.88,        70.00,SILVER
N,EQ,SILVER1,KOTAKMAMC - KOTAKSILVE,        89.78,        90.40,        91.00,        90.36,        90.85,                  9062884.35,99951,334,        94.05,        68.66,SILVER
N,EQ,SILVERADD,DSPAMC - DSPSILVETF,        89.07,        89.40,        90.48,        89.40,        90.16,                  2670233.74,29698,306,        94.40,        67.60,SILVER
N,EQ,SILVERBEES,NIPPONAMC - NETFSILVER,        88.59,        89.33,        89.95,        89.28,        89.81,                626697558.46,6990026,13959,       100.00,        67.00,SILVER
N,EQ,SILVERETF,UTIAMC - SILVERETF,        89.79,        90.13,        90.99,        90.01,        90.79,                 18010077.91,198784,829,        96.00,        69.00,SILVER
N,EQ,SILVERIETF,ICICIPRAMC - ICICISILVE,        92.14,        92.38,        93.51,        92.38,        93.43,                101087571.68,1082946,2214,        96.76,        68.65,SILVER
N,EQ,SILVRETF,MIRAEAMC - MASILVER,        90.08,        90.32,        91.60,        90.32,        91.22,                  1212510.55,13327,164,        94.65,        68.43,SILVER
N,EQ,SMALLCAP,MIRAEAMC - SMALLCAP,        53.01,        53.01,        53.50,        51.70,        52.91,                 46089996.86,876471,4420,        55.25,        39.24,NIFTY SMLCAP250 MOMENTUM QLTY100 TOTAL RETRN INDEX
N,EQ,TATAGOLD,TATAAML-TATAGOLD,         7.56,         7.61,         7.67,         7.60,         7.64,                 31543781.44,4128463,11621,         8.50,         6.00,GOLD
N,EQ,TATSILV,TATAAML-TATSILV,         8.97,         9.09,         9.13,         8.98,         9.08,                 16041530.50,1767894,1919,        10.32,         6.74,SILVER
N,EQ,TECH,BIRLASLAMC - TECH,        44.53,        44.52,        44.52,        43.69,        44.08,                   459175.86,10418,263,        49.00,        26.63,NIFTY IT TRI
N,EQ,TNIDETF,TATAAML - TNIDETF,        96.93,        97.97,        97.97,        94.33,        96.56,                  8180862.75,85049,1027,       101.75,        63.05,NIFTY INDIA DIGITAL INDEX
N,EQ,TOP100CASE,ZERODHAAMC - TOP100CASE,        10.65,        10.89,        10.89,        10.53,        10.72,                  2751115.45,259204,1767,        11.99,        10.00,NIFTY 100 TOTAL RETURNS INDEX
N,EQ,TOP10ADD,DSPAMC - TOP10ADD,        95.32,        95.33,        95.81,        94.53,        95.57,                  7606467.47,79830,546,       119.70,        94.00,NIFTY TOP 10 EQUAL WEIGHT INDEX
N,EQ,UTIBANKETF,UTIAMC - UTIBANKETF,        52.56,        51.25,        54.04,        51.25,        53.86,                 24721317.44,462767,564,        55.96,        41.00,NIFTY BANK INDEX
N,EQ,UTINEXT50,UTIAMC - UTINEXT50,        78.76,        78.98,        80.20,        77.77,        79.09,                  9563961.12,121039,1193,        83.00,        45.00,NIFTY NEXT 50
N,EQ,UTINIFTETF,UTIAMC - UTINIFTETF,       269.14,       271.00,       271.00,       267.08,       270.20,                 39394767.15,146876,490,       285.31,       202.55,NIFTY 50
N,EQ,UTISENSETF,UTIAMC - UTISENSETF,       880.72,       886.97,       886.97,       872.10,       882.96,                  1659212.50,1886,133,       938.90,       673.02,SENSEX
N,EQ,UTISXN50,UTIAMC - UTISXN50,        90.43,        91.93,        91.94,        88.78,        90.89,                   281363.96,3113,169,        96.27,        46.88,BSE SENSEX NEXT 50
