Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
18 OCT 2024,AHLEAST,EQ,ASIAN HOTELS (EAST) LTD  ,Listed    ,18 OCT 2024,              10.00,          17291696,            182.35,     3152967848.65   
18 OCT 2024,AHLUCONT,EQ,AHLUWALIA CONT IND LTD   ,Listed    ,18 OCT 2024,               2.00,          66987560,           1174.25,    78660142330.00  
18 OCT 2024,AIAENG,EQ,AIA ENGINEERING LIMITED  ,Listed    ,18 OCT 2024,               2.00,          94320370,           4163.85,   392735872624.50    
18 OCT 2024,AIIL,EQ,AUTHUM INVEST & INFRA LTD,Listed    ,18 OCT 2024,               1.00,         169845100,           1827.50,   310391920250.00      
18 OCT 2024,AILIMITED,ST,ABHISHEK INTEGRATIONS LTD,Listed    ,18 OCT 2024,              10.00,           6021570,             84.75,      510328057.50 
18 OCT 2024,AIMTRON,ST,AIMTRON ELECTRONICS LTD  ,Listed    ,18 OCT 2024,              10.00,          20413825,            429.50,     8767737837.50   
18 OCT 2024,AIRAN,BE,AIRAN LIMITED            ,Listed    ,18 OCT 2024,               2.00,         125020000,             37.25,     4654494600.00     
18 OCT 2024,AIROLAM,EQ,AIRO LAM LIMITED         ,Listed    ,18 OCT 2024,              10.00,          15002000,            135.20,     2028270400.00   
18 OCT 2024,AISL,ST,ANI INTEGRATED SERV LTD. ,Listed    ,18 OCT 2024,              10.00,          10352200,            192.95,     1997456990.00      
18 OCT 2024,AJANTPHARM,EQ,AJANTA PHARMA LIMITED    ,Listed    ,18 OCT 2024,               2.00,         124912099,           3199.55,   399662506355.45
18 OCT 2024,AJMERA,EQ,AJMERA REALTY & INF I LTD,Listed    ,18 OCT 2024,              10.00,          35484875,            868.95,    30834582131.25    
18 OCT 2024,AJOONI,BE,AJOONI BIOTECH LIMITED   ,Listed    ,18 OCT 2024,               2.00,         172243598,              8.00,     1377948784.00    
18 OCT 2024,AKANKSHA,SM,AKANKSHA POWER N INFRA L ,Listed    ,18 OCT 2024,              10.00,          18518520,            153.15,     2836111338.00  
18 OCT 2024,AKASH,EQ,AKASH INFRA-PROJECTS LTD ,Listed    ,18 OCT 2024,              10.00,          16862534,             35.20,      593898447.50     
18 OCT 2024,AKG,EQ,AKG EXIM LIMITED         ,Listed    ,18 OCT 2024,              10.00,          31776576,             18.95,      602166115.20       
18 OCT 2024,AKI,EQ,AKI INDIA LIMITED        ,Listed    ,18 OCT 2024,               2.00,          85764174,             20.05,     1721286972.20       
18 OCT 2024,AKIKO,SM,AKIKO GLOBAL SERVICES L  ,Listed    ,18 OCT 2024,              10.00,          10769600,             76.50,      823874400.00     
18 OCT 2024,AKSHAR,EQ,AKSHAR SPINTEX LIMITED   ,Listed    ,18 OCT 2024,               1.00,         787468500,              1.15,      905588775.00    
18 OCT 2024,AKSHARCHEM,EQ,AKSHARCHEM INDIA LIMITED ,Listed    ,18 OCT 2024,              10.00,           8033099,            305.85,     2456923329.15
18 OCT 2024,AKSHOPTFBR,EQ,AKSH OPTIFIBRE LIMITED   ,Listed    ,18 OCT 2024,               5.00,         162697971,             11.15,     1815709356.35
