SYMBOL,SERIES,ISIN,Sec Desc,STT Indicator                                                                                                             
NIFTYETF,EQ,INF769K01EG9,MIRAEAMC - MAN50ETF,EF                                                                                                       
HEALTHIETF,BL,INF109KC1Q72,ICICIPRAMC - ICICIPHARM,EF                                                                                                 
ITIETF,EQ,INF109KC16I6,ICICIPRAMC - ICICITECH,EF                                                                                                      
FINIETF,BL,INF109KC17L8,ICICIPRAMC-ICICIFIN,EF                                                                                                        
MAGNUM-RE,EQ,INE387I20016,MAGNUM VENTURES LIMITED,RE                                                                                                  
SILGO-RE,BL,INE01II20013,SILGO RETAIL LIMITED,RE                                                                                                      
BHANDA-RE1,BL,INE474E20029,BHANDARI HOSIERY EXP LTD,RE                                                                                                
GSTL-RE,ST,INE00WS20015,GLOBESECURE TECHNO LTD,RE                                                                                                     
TATACON-RE,BL,INE192A20017,TATA CONSUMER PRODUCT LTD,RE                                                                                               
GROWEV,EQ,INF666M01IH2,GROWWAMC - GROWWEV,EF                                                                                                          
EBANKNIFTY,EQ,INF754K01TE4,EDELAMC - EBANKNIFTY,EF                                                                                                    
NARMA-RE,BL,INE117Z20011,NARMADA AGROBASE LIMITED,RE                                                                                                  
MITTAL-RE1,BE,INE997Y20027,MITTAL LIFE STYLE LTD,RE                                                                                                   
GROWWDEFNC,BL,INF666M01IO8,GROWWAMC - GROWWDEFNC,EF                                                                                                   
GEOJIT-RE,BE,INE007B20015,GEOJIT FIN SERV LTD,RE                                                                                                      
ICICIINFRA,BL,INF109KC16E5,ICICIPRAMC - ICICIINFRA,EF                                                                                                 
ITETF,BL,INF769K01KV5,MIRAEAMC - ITETF,EF                                                                                                             
538592,MF,INF204KA1RX2,RELIANCE MUTUAL FUND- RELIANCE,EF                                                                                              
538632,MF,INF204KA1SU6,RELIANCE MUTUAL FUND- RELIANCE,EF                                                                                              
ICICICONSU,EQ,INF109KC1V42,ICICIPRAMC - ICICICONSU,EF                                                                                                 
ICICIBANKP,BL,INF109KC1E35,ICICIPRAMC - ICICIBANKP,EF                                                                                                 
543185,MF,INF204KB15T6,Nippon India Mutual Fund,EF                                                                                                    
543175,MF,INF204KB15U4,Nippon India Mutual Fund,EF                                                                                                    
543182,MF,INF204KB18T0,Nippon India Mutual Fund,EF                                                                                                    
VARDM-RE,BL,INE835A20011,VARDHMAN POLYTEX LIMITED,RE                                                                                                  
SEPC-RE1,BL,INE964H20022,SEPC LIMITED,RE                                                                                                              
EQUAL50ADD,EQ,INF740KA1QK2,DSPAMC - DSPNEWETF,EF                                                                                                      
NIFTY50ADD,BL,INF740KA1CL0,DSPAMC - DSPN50ETF,EF                                                                                                      
PSUBANKADD,EQ,INF740KA1SY9,DSPAMC - DSPPSBKETF,EF                                                                                                     
HDFCNIFBAN,BL,INF179KC1HY0,HDFCAMC - HDFCNIFBAN,EF                                                                                                    
ICICINXT50,EQ,INF109KC1NS5,ICICIPRAMC - ICICINXT50,EF                                                                                                 
AJOONI-RE1,BE,INE820Y20021,AJOONI BIOTECH LIMITED,RE                                                                                                  
NV20,BL,INF174K01Z71,KOTAKMAMC - KTKNV20ETF,EF                                                                                                        
SBINEQWETF,EQ,INF200KB1282,SBIAMC - SBINEQWETF,EF                                                                                                     
COMP-RE,BL,INE070C20011,COMPUAGE INFOCOM LTD,RE                                                                                                       
MONIFTY500,BL,INF247L01BU1,MOTILALAMC - MONIFTY500,EF                                                                                                 
BFSI,BL,INF769K01HI8,MIRAEAMC - MAFSETF,EF                                                                                                            
BFSI,EQ,INF769K01HI8,MIRAEAMC - MAFSETF,EF                                                                                                            
INVENT-RE,BE,INE878H20016,INVENTURE GRO & SEC LTD,RE                                                                                                  
SBIETFQLTY,BL,INF200KA1WX6,SBIAMC - SBIETFQLTY,EF                                                                                                     
EC6RD,MF,INF903JA1EU3,SUNDARMAMC - EC6RD,EF                                                                                                           
TOP100CASE,EQ,INF0R8F01067,ZERODHAAMC - TOP100CASE,EF                                                                                                 
GREEN-RE,BL,INE999K20014,ORIENT GREEN POWER CO LTD,RE                                                                                                 
UTISENSETF,EQ,INF789FB1X58,UTIAMC - UTISENSETF,EF                                                                                                     
SETFNIFBK,BL,INF200KA1580,SBI-ETF NIFTY BANK,EF                                                                                                       
UTIFEFRDP2,MF,INF789FA14T1,UTIAMC - UTIFEFRDP2,EF                                                                                                     
SC2RG,MF,INF903J01X66,SUNDARMAMC - SC2RG,EF                                                                                                           
PSUBNKBEES,EQ,INF204KB16I7,NIP IND ETF PSU BANK BEES,EF                                                                                               
T5DD,MF,INF903J011D9,SUNDARMAMC - T5DD,EF                                                                                                             
NPBET,BL,INF277K010X4,TATAAML - NPBET,EF                                                                                                              
SRTRANS-RE,BE,INE721A20013,SHRIRAM TRANSPORT RE,RE                                                                                                    
KEEPLN-RE,BE,INE055C20012,DSJ KEEP LEARNING LTD,RE                                                                                                    
BALKRI-RE,BE,INE875R20011,BALKRSHNA PAPER MILLS LTD,RE                                                                                                
NAGREE-RE,BE,INE123B20010,NAGREEKA EXPORTS LIMITED,RE                                                                                                 
SAKUMA-RE,BL,INE190H20016,SAKUMA EXPORTS LIMITED,RE                                                                                                   
ALPHAETF,BL,INF769K01KU7,MIRAEAMC - ALPHAETF,EF                                                                                                       
HDFCNEXT50,BL,INF179KC1HS2,HDFCAMC - HDFCNEXT50,EF                                                                                                    
SUVEN-RE,BE,INE495B20012,SUVEN LIFE SCIENCES LTD,RE                                                                                                   
EC2RG,MF,INF903JA1CP7,SUNDARMAMC - EC2RG,EF                                                                                                           
WOCKH-RE,BE,INE049B20017,WOCKHARDT LIMITED,RE                                                                                                         
MC1DD,MF,INF903JA1DU5,SUNDARMAMC - MC1DD,EF                                                                                                           
MC1DG,MF,INF903JA1DT7,SUNDARMAMC - MC1DG,EF                                                                                                           
NGIL-RE,BE,INE236Y20012,NAKODA GRP OF IND LTD,RE                                                                                                      
ICICIPHARM,EQ,INF109KC1Q72,ICICIPRAMC - ICICIPHARM,EF                                                                                                 
PNB-RE,BL,INE572E20012,PNB HOUSING FIN LTD.,RE                                                                                                        
EC3RD,MF,INF903JA1DC3,SUNDARMAMC - EC3RD,EF                                                                                                           
ICICIM150,EQ,INF109KC1G82,ICICIPRAMC - ICICIM150,EF                                                                                                   
HEALTHY,EQ,INF209KB10C2,BIRLASLAMC - HEALTHY,EF                                                                                                       
AXISHCETF,BL,INF846K01Z12,AXISAMC - AXISHCETF,EF                                                                                                      
MOM50,EQ,INF247L01536,MOTILAL OSWAL M50 ETF,EF                                                                                                        
HDFCBSE500,EQ,INF179KC1EZ4,HDFCAMC - HDFCBSE500,EF                                                                                                    
HDFCBSE500,BL,INF179KC1EZ4,HDFCAMC - HDFCBSE500,EF                                                                                                    
APCL-RE,BE,INE071F20012,ANJANI PORTLAND CEM LTD,RE                                                                                                    
SDBL-RE1,BL,INE480C20020,SOM DIST & BREW LTD,RE                                                                                                       
RIL-RE,BE,INE002A20018,RELIANCE INDUSTRIES RE,RE                                                                                                      
ICICI500,EQ,INF109KC1V59,ICICIPRAMC - ICICI500,EF                                                                                                     
M&MFIN-RE,BE,INE774D20016,MAHINDRA & MAHINDRA RE,RE                                                                                                   
IIFL-RE,BE,INE530B20016,IIFL FINANCE LIMITED,RE                                                                                                       
MOQUALITY,BL,INF247L01BH8,MOTILALAMC - MOQUALITY,EF                                                                                                   
MODEFENCE,BL,INF247L01DJ0,MOTILALAMC - MODEFENCE,EF                                                                                                   
VIJIFI-RE,BL,INE159N20019,VIJI FINANCE LIMITED,RE                                                                                                     
GACMDVR-RE,BL,INE224E20028,GACM TECHNOLOGIES LIMITED,RE                                                                                               
HDFCMOMENT,BL,INF179KC1HV6,HDFCAMC - HDFCMOMENT,EF                                                                                                    
ALPHAETF,EQ,INF769K01KU7,MIRAEAMC - ALPHAETF,EF                                                                                                       
MONQ50,EQ,INF247L01AU3,MOTILALAMC - MONQ50,EF                                                                                                         
MONQ50,BL,INF247L01AU3,MOTILALAMC - MONQ50,EF                                                                                                         
MOMOMENTUM,EQ,INF247L01BK2,MOTILALAMC - MOMOMENTUM,EF                                                                                                 
MOMOMENTUM,BL,INF247L01BK2,MOTILALAMC - MOMOMENTUM,EF                                                                                                 
ESSEN-RE,BE,INE418N20019,INTEGRA ESSENTIA LIMITED,RE                                                                                                  
NEXT50,BL,INF769K01FN2,MIRAEAMC - MANXT50,EF                                                                                                          
MOVALUE,BL,INF247L01BE5,MOTILALAMC - MOVALUE,EF                                                                                                       
535276,BL,INF200K01VT2,SBI MUTUAL FUND - SBI ETF SENS,EF                                                                                              
542747,EQ,INF204KB15D0,NIPPON INDIA ETF SENSEX NEXT 5,EF                                                                                              
HDFCVALUE,EQ,INF179KC1DK8,HDFCAMC - HDFCVALUE,EF                                                                                                      
HDFCNIFIT,BL,INF179KC1IA8,HDFCAMC - HDFCNIFIT,EF                                                                                                      
ICICICOMMO,BL,INF109KC19O8,ICICIPRAMC - ICICICOMMO,EF                                                                                                 
RSWM-RE,BL,INE611A20016,RSWM LIMITED,RE                                                                                                               
DESTIN-RE,ST,INE0IGO20011,DESTINY LOGISTICS & I LTD,RE                                                                                                
PSUBANKICI,BL,INF109KC10S8,ICICIPRAMC - PSUBANKICI,EF                                                                                                 
BSE500IETF,BL,INF109KC1V59,ICICIPRAMC - ICICI500,EF                                                                                                   
BANKIETF,EQ,INF109KC15I8,ICICIPRAMC - IPRU5008,EF                                                                                                     
BANKIETF,BL,INF109KC15I8,ICICIPRAMC - IPRU5008,EF                                                                                                     
FINIETF,EQ,INF109KC17L8,ICICIPRAMC-ICICIFIN,EF                                                                                                        
NV20IETF,EQ,INF109KC11V0,ICICI PRUDENTIAL NV20 ETF,EF                                                                                                 
HEALTHADD,BL,INF740KA1UF4,DSPAMC - HEALTHADD,EF                                                                                                       
IBUL-RE,BE,INE148I20012,INDIABULLS HSG FIN LTD,RE                                                                                                     
GROWEV,BL,INF666M01IH2,GROWWAMC - GROWWEV,EF                                                                                                          
TOP10ADD,EQ,INF740KA1UR9,DSPAMC - TOP10ADD,EF                                                                                                         
TOP10ADD,BL,INF740KA1UR9,DSPAMC - TOP10ADD,EF                                                                                                         
SADHNAN-RE,BL,INE888C20016,SADHANA NITROCHEM LIMITED,RE                                                                                               
MOMENTUM50,EQ,INF247L01DK8,MOTILALAMC - MOMENTUM50,EF                                                                                                 
MOMENTUM50,BL,INF247L01DK8,MOTILALAMC - MOMENTUM50,EF                                                                                                 
M17DD,MF,INF903JA1BI4,SUNDARMAMC - M17DD,EF                                                                                                           
EC4DD,MF,INF903JA1DQ3,SUNDARMAMC - EC4DD,EF                                                                                                           
SHARE-RE,BL,INE932X20018,SHARE IND SEC LTD,RE                                                                                                         
MOM30IETF,EQ,INF109KC17C7,ICICIPRAMC - ICICIMOM30,EF                                                                                                  
543183,MF,INF204KB19T8,Nippon India Mutual Fund,EF                                                                                                    
EVINDIA,EQ,INF769K01LQ3,MIRAEAMC - EVINDIA,EF                                                                                                         
MIDQ50ADD,EQ,INF740KA1QL0,DSPAMC - DSPQ50ETF,EF                                                                                                       
MIDSMALL,BL,INF769K01LJ8,MIRAEAMC - MIDSMALL,EF                                                                                                       
NV20,EQ,INF174K01Z71,KOTAKMAMC - KTKNV20ETF,EF                                                                                                        
ALPHA,EQ,INF174KA1IA5,KOTAKMAMC - KOTAKALPHA,EF                                                                                                       
NIFTY1,BL,INF174K014P6,KOTAK NIFTY ETF,EF                                                                                                             
SOUTH-RE,BE,INE683A20015,THE SOUTH INDIAN BANK LTD,RE                                                                                                 
GLOBE-RE,BL,INE581X20013,GLOBE TEXTILES LIMITED,RE                                                                                                    
AARTI-RE,BL,INE09EO20013,AARTI SURFACTANTS LIMITED,RE                                                                                                 
MGEL-RE,BL,INE0APB20016,MANGALAM GLOBAL ENT LTD,RE                                                                                                    
ICICILOVOL,EQ,INF109KB10T8,ICICI PR NIF LW VL 30 ETF,EF                                                                                               
SBIETFQLTY,EQ,INF200KA1WX6,SBIAMC - SBIETFQLTY,EF                                                                                                     
NGIL-RE1,BL,INE236Y20020,NAKODA GRP OF IND LTD,RE                                                                                                     
UTISXN50,BL,INF789F1AUU3,UTIAMC - UTISXN50,EF                                                                                                         
ICICIBANKN,BL,INF109KC15I8,ICICIPRAMC - IPRU5008,EF                                                                                                   
METAL,EQ,INF769K01LY7,MIRAEAMC - METAL,EF                                                                                                             
NIFMID150,EQ,INF789F1AYX9,UTIAMC - NIFMID150,EF                                                                                                       
