SYMBOL,SERIES,ISIN,Sec Desc,STT Indicator                                                                                                             
CONSUMIETF,EQ,INF109KC1V42,ICICIPRAMC - ICICICONSU,EF                                                                                                 
BHANDA-RE,BE,INE474E20011,BHANDARI HOSIERY EXP LTD,RE                                                                                                 
IT,BL,INF174KA1GC5,KOTAKMAMC - KOTAKIT,EF                                                                                                             
NIFTY1,EQ,INF174K014P6,KOTAK NIFTY ETF,EF                                                                                                             
GACMDVR-RE,BE,INE224E20028,GACM TECHNOLOGIES LIMITED,RE                                                                                               
MOM100,EQ,INF247L01023,MOTILAL OS MIDCAP100 ETF,EF                                                                                                    
HDFCSML250,EQ,INF179KC1FB2,HDFCAMC - HDFCSML250,EF                                                                                                    
BSLSENETFG,EQ,INF209KB10E8,BIRLASLAMC - BSLSENETFG,EF                                                                                                 
SANG-RE,BL,INE753W20010,SANGINITA CHEMICALS LTD,RE                                                                                                    
SAKUMA-RE,BE,INE190H20016,SAKUMA EXPORTS LIMITED,RE                                                                                                   
BANKPSU,EQ,INF769K01LZ4,MIRAEAMC - BANKPSU,EF                                                                                                         
MOMENTUM,EQ,INF209KB14K7,BIRLASLAMC - MOMENTUM,EF                                                                                                     
GDL-RE,BE,INE852F20015,GATEWAY DISTRIPARKS RE,RE                                                                                                      
NGIL-RE2,BE,INE236Y20038,NAKODA GROUP OF IND LTD,RE                                                                                                   
542841,MF,INF204KB14G6,Nippon India Mutual Fund,EF                                                                                                    
542818,MF,INF204KB18F9,Nippon India Mutual Fund,EF                                                                                                    
542819,MF,INF204KB19F7,Nippon India Mutual Fund,EF                                                                                                    
TFL-RE,BE,INE804H20012,TRANSWARRANTY FINANCE LTD,RE                                                                                                   
TFL-RE,BL,INE804H20012,TRANSWARRANTY FINANCE LTD,RE                                                                                                   
ROML-RE,BE,INE294G20018,RAJ OIL MILLS LIMITED,RE                                                                                                      
ESSEN-RE2,BL,INE418N20035,INTEGRA ESSENTIA LIMITED,RE                                                                                                 
TNIDETF,BL,INF277KA1364,TATAAML - TNIDETF,EF                                                                                                          
MAFANG,BL,INF769K01HF4,MIRAEAMC - MAFANG,EF                                                                                                           
PHARMABEES,EQ,INF204KC1089,NIPPONAMC - NETFPHARMA,EF                                                                                                  
AUTOBEES,EQ,INF204KC1337,NIPPONAMC - NETFAUTO,EF                                                                                                      
MOMENTUM,BL,INF209KB14K7,BIRLASLAMC - MOMENTUM,EF                                                                                                     
538683,EQ,INF204KA1UN7,NIPPON INDIA ETF SENSEX,EF                                                                                                     
541972,BL,INF200KA1VQ2,SBI Mutual Fund,EF                                                                                                             
MAMFGETF,BL,INF769K01IB1,MIRAEAMC - MAMFGETF,EF                                                                                                       
AKG-RE,BL,INE00Y820016,AKG EXIM LIMITED,RE                                                                                                            
JETFRE-RE,BE,INE982V20017,JET FREIGHT LOGISTICS LTD,RE                                                                                                
PSUBANKICI,EQ,INF109KC10S8,ICICIPRAMC - PSUBANKICI,EF                                                                                                 
BRIGHT-RE,ST,INE684Z20010,BRIGHT SOLAR LIMITED,RE                                                                                                     
PLPHAR-RE,BE,INE0DK520011,PIRAMAL PHARMA LIMITED,RE                                                                                                   
NIFITETF,BL,INF789F1AZD8,UTIAMC - NIFITETF,EF                                                                                                         
NIFTYETF,BL,INF769K01EG9,MIRAEAMC - MAN50ETF,EF                                                                                                       
MIDCAPETF,BL,INF769K01IC9,MIRAEAMC - MAM150ETF,EF                                                                                                     
BSE500IETF,EQ,INF109KC1V59,ICICIPRAMC - ICICI500,EF                                                                                                   
ITIETF,BL,INF109KC16I6,ICICIPRAMC - ICICITECH,EF                                                                                                      
COMMOIETF,BL,INF109KC19O8,ICICIPRAMC - ICICICOMMO,EF                                                                                                  
INFRAIETF,BL,INF109KC16E5,ICICIPRAMC - ICICIINFRA,EF                                                                                                  
IBUL-RE,BL,INE148I20012,INDIABULLS HSG FIN LTD,RE                                                                                                     
ADRO-RE,BE,INE737B20017,ADROIT INFOTECH LIMITED,RE                                                                                                    
MOREALTY,BL,INF247L01CI4,MOTILALAMC - MOREALTY,EF                                                                                                     
KSHITI-RE,BE,INE013820019,KSHITIJ POLYLINE LIMITED,RE                                                                                                 
KSHITI-RE,BL,INE013820019,KSHITIJ POLYLINE LIMITED,RE                                                                                                 
SEPC-RE2,BE,INE964H20030,SEPC LIMITED,RE                                                                                                              
AKSH-RE,BL,INE256Z20017,AKSHAR SPINTEX LIMITED,RE                                                                                                     
GROWWDEFNC,EQ,INF666M01IO8,GROWWAMC - GROWWDEFNC,EF                                                                                                   
GEOJIT-RE,BL,INE007B20015,GEOJIT FIN SERV LTD,RE                                                                                                      
M17DG,MF,INF903JA1BH6,SUNDARMAMC - M17DG,EF                                                                                                           
M17RD,MF,INF903JA1BG8,SUNDARMAMC - M17RD,EF                                                                                                           
EC4RD,MF,INF903JA1DO8,SUNDARMAMC - EC4RD,EF                                                                                                           
538594,MF,INF204KA1RV6,RELIANCE MUTUAL FUND- RELIANCE,EF                                                                                              
538630,MF,INF204KA1SW2,RELIANCE MUTUAL FUND - RELIANC,EF                                                                                              
538631,MF,INF204KA1SV4,RELIANCE MUTUAL FUND- RELIANCE,EF                                                                                              
ICICIAUTO,EQ,INF109KC1Y49,ICICIPRAMC - ICICIAUTO,EF                                                                                                   
ICICIAUTO,BL,INF109KC1Y49,ICICIPRAMC - ICICIAUTO,EF                                                                                                   
NEXT50IETF,EQ,INF109KC1NS5,ICICIPRAMC - ICICINXT50,EF                                                                                                 
NV20IETF,BL,INF109KC11V0,ICICI PRUDENTIAL NV20 ETF,EF                                                                                                 
543186,MF,INF204KB13U9,Nippon India Mutual Fund,EF                                                                                                    
VARDM-RE,BE,INE835A20011,VARDHMAN POLYTEX LIMITED,RE                                                                                                  
SRPL-RE,BE,INE008Z20012,SHREE RAM PROTEINS LTD,RE                                                                                                     
SRPL-RE,BL,INE008Z20012,SHREE RAM PROTEINS LTD,RE                                                                                                     
MID150CASE,EQ,INF0R8F01059,ZERODHAAMC - MID150CASE,EF                                                                                                 
BROOKS-RE,BL,INE650L20011,BROOKS LAB LIMITED,RE                                                                                                       
VCL-RE,BL,INE098220010,VAXTEX COTFAB LIMITED,RE                                                                                                       
SENSEXADD,EQ,INF740KA1SZ6,DSPAMC - DSPSENXETF,EF                                                                                                      
NPBET,EQ,INF277K010X4,TATAAML - NPBET,EF                                                                                                              
VIJIFI-RE,BE,INE159N20019,VIJI FINANCE LIMITED,RE                                                                                                     
CONS,BL,INF174KA1JE5,KOTAKMAMC - KOTAKCONS,EF                                                                                                         
CONS,EQ,INF174KA1JE5,KOTAKMAMC - KOTAKCONS,EF                                                                                                         
SOUTH-RE,BL,INE683A20015,THE SOUTH INDIAN BANK LTD,RE                                                                                                 
GLOBE-RE,BE,INE581X20013,GLOBE TEXTILES LIMITED,RE                                                                                                    
ANURAS,W1,INE930P13013,ANUPAM RASAYAN INDIA LTD,RE                                                                                                    
GISO-RE,BE,INE065J20016,GI ENGINEERING SOLUTIONS,RE                                                                                                   
M16RD,MF,INF903JA1BC7,SUNDARMAMC - M16RD,EF                                                                                                           
ICICINF100,EQ,INF109KA1962,ICICI PRUD NIFTY 100 ETF,EF                                                                                                
ICICINF100,BL,INF109KA1962,ICICI PRUD NIFTY 100 ETF,EF                                                                                                
EC6DD,MF,INF903JA1EW9,SUNDARMAMC - EC6DD,EF                                                                                                           
EC6DG,MF,INF903JA1EV1,SUNDARMAMC - EC6DG,EF                                                                                                           
UTISXN50,EQ,INF789F1AUU3,UTIAMC - UTISXN50,EF                                                                                                         
GREEN-RE,BE,INE999K20014,ORIENT GREEN POWER CO LTD,RE                                                                                                 
BCIL-RE,BE,INE414D20019,BHAGIRADHA CHEM & IND LTD,RE                                                                                                  
NIFTYBETF,EQ,INF0QA701722,BFAM - NIFTYBETF,EF                                                                                                         
SM547,MF,INF903J01M85,SUNDARMAMC - SM547,EF                                                                                                           
UTISENSETF,BL,INF789FB1X58,UTIAMC - UTISENSETF,EF                                                                                                     
LICNFNHGP,BL,INF767K01PC8,LICNAMC - LICNFNHGP,EF                                                                                                      
VF1RG,MF,INF903J01Z80,SUNDARMAMC - VF1RG,EF                                                                                                           
LICNETFN50,EQ,INF767K01OS7,LICNAMC - LICNFENGP,EF                                                                                                     
UTIFEFDDP2,MF,INF789FA16T6,UTIAMC - UTIFEFDDP2,EF                                                                                                     
T4DD,MF,INF903J019A8,SUNDARMAMC - T4DD,EF                                                                                                             
ABSLBANETF,EQ,INF209KB17D5,BIRLASLAMC - ABSLBANETF,EF                                                                                                 
OILIETF,EQ,INF109KC18W3,ICICIPRAMC - OILIETF,EF                                                                                                       
SKIPPER-RE,BE,INE439E20014,SKIPPER LIMITED,RE                                                                                                         
BBNPNBETF,EQ,INF251K01TL6,BARODABNP - BBNPNBETF,EF                                                                                                    
AXISBNKETF,EQ,INF846K01X63,AXISAMC - AXISBNKETF,EF                                                                                                    
GOKUL-RE,BL,INE314T20017,GOKUL AGRO RESOURCES LTD,RE                                                                                                  
NETF,BL,INF277K015R5,TATAAML - NETF,EF                                                                                                                
LICNMID100,EQ,INF767K01RN1,LICNAMC - LICNMID100,EF                                                                                                    
IDFNIFTYET,EQ,INF194KA1U07,BANDHANAMC - IDFNIFTYET,EF                                                                                                 
GAL-RE,BL,INE482J20013,GYSCOAL ALLOYS LTD,RE                                                                                                          
SHRERA-RE,BE,INE879A20019,SHREE RAMA MULTI-TECH LTD,RE                                                                                                
JYOTI-RE,BL,INE197A20016,JYOTI STRUCTURES LTD,RE                                                                                                      
INDO-RE,BL,INE227G20018,INDOWIND ENERGY LIMITED,RE                                                                                                    
SBIETFPB,BL,INF200KA1S22,SBIAMC - SBIETFPB,EF                                                                                                         
ARVINDF-RE,BL,INE955V20013,ARVIND FASHIONS RE,RE                                                                                                      
KEEPLN-RE,BL,INE055C20012,DSJ KEEP LEARNING LTD,RE                                                                                                    
ICICIM150,BL,INF109KC1G82,ICICIPRAMC - ICICIM150,EF                                                                                                   
CONSUMIETF,BL,INF109KC1V42,ICICIPRAMC - ICICICONSU,EF                                                                                                 
HDFCNIFIT,EQ,INF179KC1IA8,HDFCAMC - HDFCNIFIT,EF                                                                                                      
NANDANI-RE,BE,INE696V20013,NANDANI CREATION LTD,RE                                                                                                    
HERIT-RE,BL,INE978A20019,HERITAGE FOODS LTD,RE                                                                                                        
AXISHCETF,EQ,INF846K01Z12,AXISAMC - AXISHCETF,EF                                                                                                      
HDFCMID150,BL,INF179KC1HT0,HDFCAMC - HDFCMID150,EF                                                                                                    
SGIL-RE,BE,INE00QT20015,SYNERGY GREEN IND. LTD,RE                                                                                                     
SGIL-RE,BL,INE00QT20015,SYNERGY GREEN IND. LTD,RE                                                                                                     
EC5RG,MF,INF903JA1EL2,SUNDARMAMC - EC5RG,EF                                                                                                           
MOSMALL250,EQ,INF247L01CH6,MOTILALAMC - MOSMALL250,EF                                                                                                 
TEMBO-RE,BE,INE869Y20010,TEMBO GLOBAL IND LTD,RE                                                                                                      
TEMBO-RE,BL,INE869Y20010,TEMBO GLOBAL IND LTD,RE                                                                                                      
NECLTD-RE,BL,INE553C20016,NORTH EAST CARRY CORP LTD,RE                                                                                                
HILTON-RE,BL,INE788H20017,HILTON METAL FORGING LIMI,RE                                                                                                
IIFL-RE,BL,INE530B20016,IIFL FINANCE LIMITED,RE                                                                                                       
MOQUALITY,EQ,INF247L01BH8,MOTILALAMC - MOQUALITY,EF                                                                                                   
AXISNIFTY,EQ,INF846K01W98,AXISAMC - AXISNIFTY,EF                                                                                                      
MODEFENCE,EQ,INF247L01DJ0,MOTILALAMC - MODEFENCE,EF                                                                                                   
HDFCBANK,W3,INE040A13013,HDFC BANK LIMITED,RE                                                                                                         
542840,MF,INF204KB12E5,Nippon India Mutual Fund,EF                                                                                                    
542804,MF,INF204KB12F2,Nippon India Mutual Fund,EF                                                                                                    
542844,MF,INF204KB16G1,Nippon India Mutual Fund,EF                                                                                                    
542846,MF,INF204KB18G7,Nippon India Mutual Fund,EF                                                                                                    
AXISCETF,EQ,INF846K016C7,AXISAMC - AXISCETF,EF                                                                                                        
TECH,BL,INF209KB11D8,BIRLASLAMC - TECH,EF                                                                                                             
ROML-RE,BL,INE294G20018,RAJ OIL MILLS LIMITED,RE                                                                                                      
TNIDETF,EQ,INF277KA1364,TATAAML - TNIDETF,EF                                                                                                          
ASIAN-RE1,BE,INE022I20027,ASIAN GRANITO INDIA LIMIT,RE                                                                                                
ITBEES,BL,INF204KB15V2,NIP IND ETF IT,EF                                                                                                              
NV20BEES,EQ,INF204KB18I3,NIP IND ETF ETF NV20,EF                                                                                                      
LOWVOL,BL,INF769K01JU9,MIRAEAMC - MANV30F,EF                                                                                                          
MAKEINDIA,EQ,INF769K01IB1,MIRAEAMC - MAMFGETF,EF                                                                                                      
AXISTECETF,EQ,INF846K01Y96,AXISAMC - AXISTECETF,EF                                                                                                    
AXISTECETF,BL,INF846K01Y96,AXISAMC - AXISTECETF,EF                                                                                                    
532985,EQ,INF174KA1JD7,KOTAK MAHINDRA MUTUAL FUND,EF                                                                                                  
542747,BL,INF204KB15D0,NIPPON INDIA ETF SENSEX NEXT 5,EF                                                                                              
COAST-RE,BE,INE377E20016,COASTAL CORP LIMITED-RE,RE                                                                                                   
HDFCGROWTH,EQ,INF179KC1DJ0,HDFCAMC - HDFCGROWTH,EF                                                                                                    
SUZLON-RE,BE,INE040H20013,SUZLON ENERGY LTD,RE                                                                                                        
AKG-RE,BE,INE00Y820016,AKG EXIM LIMITED,RE                                                                                                            
EC1RD,MF,INF903JA1CI2,SUNDARMAMC - EC1RD,EF                                                                                                           
PATEL-RE,BE,INE244B20014,PATEL ENGINEERING LIMITED,RE                                                                                                 
CGCL-RE,BE,INE180C20018,CAPRI GLOBAL CAP LTD,RE                                                                                                       
PRAXIS-RE1,BE,INE546Y20022,PRAXIS HOME RETAIL LTD,RE                                                                                                  
PRAXIS-RE1,BL,INE546Y20022,PRAXIS HOME RETAIL LTD,RE                                                                                                  
BANKETF,EQ,INF769K01KR3,MIRAEAMC - BANKETF,EF                                                                                                         
IRBIT-RE,BL,INE0C8K20042,IRB INFRA TRU RE,RE                                                                                                          
PLPHAR-RE,BL,INE0DK520011,PIRAMAL PHARMA LIMITED,RE                                                                                                   
ICICIQTY30,BL,INF109KC15T5,ICICIPRAMC - ICICIQTY30,EF                                                                                                 
