394,UNIECOM,INE00U401027,212.67,20
395,LIQUID,INF769K01KS1,999.99,5
396,SHAREINDIA,INE932X01026,317.1,20
397,VARROC,INE665L01035,573.75,20
398,KANSAINER,INE531A01024,287,20
399,SBIN,INE062A01020,811.05,10.99
400,ENTERO,INE010601016,1376.55,20
401,DELTACORP,INE124G01033,122.16,20
402,LINDEINDIA,INE473A01011,8397.6,20
403,CAMLINFINE,INE052I01032,110.51,20
404,PRESTIGE,INE811K01011,1793.6,20
405,GRASIM,INE047A01021,2705.85,9
406,NHPC,INE848E01016,84.95,20
407,SHILPAMED,INE790G01031,858.85,20
408,TECHM,INE669C01036,1699,10.19
409,SGBDEC2513,IN0020170158,8100,10
410,REDINGTON,INE891D01026,174.08,20
411,ALKEM,INE540L01014,6023,20
412,NTPC,INE733E01010,417.75,11.98
413,JIOFIN,INE758E01017,329.15,20
414,PIDILITIND,INE318A01026,3154.45,20
415,RENUKA,INE087H01022,44.92,20
416,GANECOS,INE845D01014,2384.15,20
417,LICI,INE0J1Y01017,933.1,20
418,PPLPHARMA,INE0DK501011,224.22,20
419,JINDALSAW,INE324A01032,366.3,20
420,JBCHEPHARM,INE572A01036,1884.45,20
421,UNITDSPR,INE854D01024,1528.15,20
422,SGBNOV26,IN0020180314,8010,10
423,SGBSEP28VI,IN0020200195,8135,10
424,RELAXO,INE131B01039,784,20
425,SGBDEC25,IN0020170125,8255,10
426,JAMNAAUTO,INE039C01032,116.31,20
427,MANGLMCEM,INE347A01017,841.05,20
428,CMSINFO,INE925R01014,586.1,20
429,MUTHOOTMF,INE046W01019,217.34,20
430,ARVINDFASN,INE955V01021,601.9,20
431,JAICORPLTD,INE070D01027,365.5,22.55
432,SBICARD,INE018E01016,740,20
433,TEGA,INE011K01018,1860.75,20
434,PHOENIXLTD,INE211B01039,1623.6,20
435,AUROPHARMA,INE406A01037,1468.65,20
436,CERA,INE739E01017,7817.85,20
437,VPRPL,INE0AE001013,285.05,20
438,GATEWAY,INE079J01017,85.66,20
439,SUPRAJIT,INE399C01030,507.85,20
440,ORIENTPPR,INE592A01026,44.47,20
441,TBOTEK,INE673O01025,1715.75,20
442,AVANTEL,INE005B01027,176.85,20
443,HINDUNILVR,INE030A01027,2738.65,9
444,LUPIN,INE326A01037,2176.3,20
445,TIRUMALCHM,INE338A01024,310.6,20
446,ITBEES,INF204KB15V2,45.62,20
447,VRLLOG,INE366I01010,586.65,20
448,SETFGOLD,INF200KA16D8,66.38,20
449,MIDCAPETF,INF769K01IC9,22,6.22
450,SUDARSCHEM,INE659A01023,1071.8,20
451,KSB,INE999A01023,890.25,20
452,LAURUSLABS,INE947Q01028,466.2,20
453,SUPREMEIND,INE195A01028,5244.15,20
