ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF966L01838,166LSD1,DP,OMF,9,58.23
INF966L01846,166LSD1,DR,OMF,9,58.23
INF966L01853,166LSDG,GR,OMF,9,99.6
INF966L01358,166LSDP,DP,OMF,9,67.52
INF966L01366,166LSDP,DR,OMF,9,67.52
INF966L01374,166LSGP,GR,OMF,9,90.81
INF966L01CK5,166MFD1,DP,OMF,9,17.68
INF966L01CL3,166MFD1,DR,OMF,9,17.68
INF966L01CJ7,166MFDG,GR,OMF,9,17.68
INF966L01CO7,166MFDP,DP,OMF,9,17.47
INF966L01CP4,166MFDP,DR,OMF,9,17.47
INF966L01CN9,166MFGP,GR,OMF,9,17.34
INF966L01DA4,166MOD1,DP,OMF,9,15.42
INF966L01DB2,166MOD1,DR,OMF,9,15.42
INF0GCD01198,185LFRGGR,GR,GMF,10,1210.29
INF0GCD01503,185MMDGGR,GR,GMF,10,1162.85
INF0GCD01479,185MMGPGR,GR,GMF,10,1159.1
INF966L01CZ3,166MODG,GR,OMF,9,15.43
INF966L01CX8,166MODP,DP,OMF,9,15.19
INF966L01CY6,166MODP,DR,OMF,9,15.19
INF966L01CW0,166MOGP,GR,OMF,9,15.23
INF966L01861,166OFD1,DP,OMF,9,92.31
INF966L01879,166OFD1,DR,OMF,9,92.31
INF966L01887,166OFDG,GR,OMF,9,262.8
INF966L01150,166OFDP,DP,OMF,9,83.99
INF966L01168,166OFDP,DR,OMF,9,83.99
INF966L01176,166OFGP,GR,OMF,9,236.27
INF966L01895,166PED1,DP,OMF,9,78.72
INF966L01903,166PED1,DR,OMF,9,78.72
INF966L01911,166PEDG,GR,OMF,9,115.7
INF966L01432,166PEDP,DP,OMF,9,75.06
INF966L01440,166PEDP,DR,OMF,9,75.06
INF966L01457,166PEGP,GR,OMF,9,105.02
INF966L01DU2,166PUD1,DP,OMF,9,11.77
INF966L01DV0,166PUD1,DR,OMF,9,11.77
INF966L01DT4,166PUDG,GR,OMF,9,11.76
INF966L01DR8,166PUDP,DP,OMF,9,11.65
INF966L01DS6,166PUDP,DR,OMF,9,11.65
INF966L01DQ0,166PUGP,GR,OMF,9,11.65
INF966L01AL7,166QMD1,DP,OMF,9,25.5
INF966L01AM5,166QMD1,DR,OMF,9,25.5
INF966L01AK9,166QMDG,GR,OMF,9,25.36
INF966L01AI3,166QMDP,DP,OMF,9,24.01
INF966L01AJ1,166QMDP,DR,OMF,9,24.01
INF966L01AH5,166QMGP,GR,OMF,9,23.99
INF966L01CU4,166TKD1,DP,OMF,9,13.63
INF966L01CV2,166TKD1,DR,OMF,9,13.63
INF966L01CT6,166TKDG,GR,OMF,9,13.63
INF966L01CR0,166TKDP,DP,OMF,9,13.4
INF966L01CS8,166TKDP,DR,OMF,9,13.4
INF966L01CQ2,166TKGP,GR,OMF,9,13.39
INF966L01960,166TPD1,DP,OMF,9,58.42
INF966L01986,166TPDG,GR,OMF,9,438.23
INF966L01119,166TPDP,DP,OMF,9,54.86
INF194K01LL5,194K01LL5,DP,GMF,10,10.1
INF194K01LR2,194K01LR2,DP,GMF,10,10.13
INF194K01VZ4,194K01VZ4,DP,GMF,10,1001.08
INF194KB1330,194KB1330,DP,GMF,10,1000.01
INF194KB1462,194KB1462,DP,GMF,10,1000.01
INF194KB1470,194KB1470,DR,GMF,10,1000.01
INF200K01LN6,200K01LN6,DR,GMF,10,1248.1
INF200K01LX5,200K01LX5,DR,GMF,10,1140.74
INF200K01LY3,200K01LY3,DP,GMF,10,1277.11
INF200K01LZ0,200K01LZ0,DR,GMF,10,1277.11
INF200K01MB9,200K01MB9,DP,GMF,10,1335.71
INF966L01135,166TPGP,GR,OMF,9,395.06
INF966L01AO1,166VFD1,DP,OMF,9,20.73
INF966L01AP8,166VFD1,DR,OMF,9,20.73
INF966L01AN3,166VFDG,GR,OMF,9,21.82
INF966L01AR4,166VFDP,DP,OMF,9,20.9
INF966L01AS2,166VFDP,DR,OMF,9,20.9
INF966L01AQ6,166VFGP,GR,OMF,9,20.79
INF174K01KV8,174K01KV8,DR,OMF,9,146.12
INF200K01MC7,200K01MC7,DR,GMF,10,1335.71
INF200K01SF7,200K01SF7,DP,GMF,10,21.27
INF200K01SG5,200K01SG5,DR,GMF,10,21.27
INF174K01LP8,174K01LP8,DR,OMF,9,237.26
INF174K01LX2,174K01LX2,DP,OMF,9,25.39
