MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,YL,94SFL28,SEC RED NCD 9.40% SR. V,      1042.40,      1049.00,      1049.00,      1049.00,      1049.00,                    52450.00,50, ,1,      1110.00,      1000.00
N,YT,889SCL27,SEC RE NCD 8.89% SR.VIII,       905.20,       966.00,       966.00,       900.30,       900.30,                    16599.60,18, ,3,      1080.00,       811.05
N,Z5,955SCL27,SEC RE NCD 8.94% SR.VI,       960.00,       969.82,       969.82,       969.82,       969.82,                   129955.88,134, ,3,       980.00,       830.20
N,Z8,1025SCL34,SEC RE NCD 10.25% SR XII,       960.00,      1000.00,      1000.00,      1000.00,      1000.00,                    15000.00,15, ,1,      1000.00,       900.00
N,ZC,SFLZC26A,SEC RED NCD SR.X,      1602.01,      1605.01,      1605.01,      1605.01,      1605.01,                   304951.90,190, ,3,      2325.00,      1304.00
N,ZD,925SCL26D,SEC RE NCD 9.25% SR II,       960.00,       960.00,       960.00,       960.00,       960.00,                     9600.00,10, ,1,       975.00,       900.30
N,ZJ,955SCL27A,SEC RE NCD SR.V,      1126.00,      1150.00,      1150.00,      1150.00,      1150.00,                    11500.00,10, ,1,      1170.00,      1015.06
N,ZP,93SCL24,SEC RE NCD 9.30% SR.I,      1050.20,      1065.20,      1065.20,      1061.80,      1061.80,                    37169.80,35, ,3,      1124.00,       820.20
N,ZS,SCL24A,SEC RE NCD SR.III,      1151.00,      1156.00,      1156.00,      1124.70,      1131.63,                   113163.30,100, ,5,      1160.00,       851.00
N,ZX,98SCL27,SEC RE NCD SR.VI,      1129.50,      1120.00,      1130.00,      1120.00,      1130.00,                   225000.00,200, ,7,      1130.00,       950.20
