Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,18102024,1124899511,0002515
Trade Date <18-OCT-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2063,SHANTI,EQ,13256,12140,91.58
20,2064,SHANTIGEAR,EQ,22525,11454,50.85
20,2065,SHARDACROP,EQ,156896,55563,35.41
20,2066,SHARDAMOTR,EQ,12661,5629,44.46
20,2067,SHAREINDIA,EQ,498855,180241,36.13
20,2068,SHARIABEES,EQ,7022,5116,72.86
20,2069,SHEETAL,SM,16000,12000,75.00
20,2070,SHEMAROO,EQ,193687,46811,24.17
20,2071,SHERA,SM,417000,204000,48.92
20,2072,SHIGAN,SM,6000,4500,75.00
20,2073,SHILPAMED,EQ,136100,48123,35.36
20,2074,SHIVALIK,EQ,7873,3395,43.12
20,2075,SHIVAMILLS,EQ,21125,6534,30.93
20,2076,SHIVATEX,EQ,20931,10731,51.27
20,2077,SHK,EQ,279404,89886,32.17
20,2078,SHOPERSTOP,EQ,30761,17190,55.88
20,2079,SHREDIGCEM,EQ,196401,73582,37.47
20,2080,SHREECEM,EQ,6317,2039,32.28
20,2081,SHREEKARNI,SM,2400,1800,75.00
20,2082,SHREEOSFM,SM,22000,18000,81.82
20,2083,SHREYANIND,EQ,9938,6813,68.56
20,2084,SHREYAS,EQ,128386,64857,50.52
20,2085,SHRIPISTON,EQ,77038,32504,42.19
20,2086,SHRIRAMFIN,EQ,1876041,1060925,56.55
20,2087,SHRIRAMPPS,EQ,1489865,516843,34.69
20,2088,SHUBHLAXMI,ST,25000,21000,84.00
20,2089,SHUBHSHREE,ST,9600,8400,87.50
20,2090,SHYAMCENT,EQ,566910,255647,45.09
20,2091,SHYAMMETL,EQ,661739,403487,60.97
20,2092,SHYAMTEL,EQ,1860,1860,100.00
20,2093,SIDDHIKA,SM,3000,3000,100.00
20,2094,SIEMENS,EQ,274616,116053,42.26
20,2095,SIGACHI,EQ,673003,318520,47.33
20,2096,SIGIND,EQ,18629,9652,51.81
20,2097,SIGMA,EQ,3119,1762,56.49
20,2098,SIGNATURE,EQ,488691,129655,26.53
20,2099,SIGNORIA,SM,2000,2000,100.00
20,2100,SIGNPOST,EQ,36207,24962,68.94
20,2101,SIKKO,EQ,24033,14743,61.34
20,2102,SILGO,EQ,134568,62977,46.80
20,2103,SILINV,EQ,184641,74535,40.37
20,2104,SILKFLEX,ST,14000,14000,100.00
20,2105,SILLYMONKS,EQ,14720,9958,67.65
20,2106,SILVER,EQ,94855,67410,71.07
20,2107,SILVER1,EQ,99951,39174,39.19
20,2108,SILVERADD,EQ,29698,23710,79.84
20,2109,SILVERBEES,EQ,6990026,4716690,67.48
20,2110,SILVERETF,EQ,198784,109972,55.32
20,2111,SILVERIETF,EQ,1082946,927083,85.61
20,2112,SILVERTUC,EQ,19727,4199,21.29
20,2113,SILVRETF,EQ,13327,12047,90.40
20,2114,SINCLAIR,EQ,87530,45653,52.16
20,2115,SINDHUTRAD,EQ,2432398,719485,29.58
20,2116,SINTERCOM,EQ,14417,8084,56.07
20,2117,SIRCA,EQ,64164,38150,59.46
20,2118,SIS,EQ,61892,46968,75.89
20,2119,SIYSIL,EQ,115980,49448,42.63
20,2120,SJLOGISTIC,ST,16000,14000,87.50
20,2121,SJS,EQ,185978,75485,40.59
20,2122,SJVN,EQ,11128401,5256846,47.24
20,2123,SKFINDIA,EQ,56744,42673,75.20
20,2124,SKIPPER,EQ,739437,248454,33.60
20,2125,SKIPPERPP,E1,21346,20951,98.15
20,2126,SKMEGGPROD,EQ,54449,32589,59.85
20,2127,SKP,SM,14500,13000,89.66
20,2128,SLONE,SM,43200,41600,96.30
20,2129,SMALLCAP,EQ,876471,545123,62.20
20,2130,SMCGLOBAL,EQ,1182100,536449,45.38
20,2131,SMLISUZU,EQ,12941,6253,48.32
20,2132,SMLT,EQ,25563,13609,53.24
20,2133,SMSPHARMA,EQ,442067,185513,41.96
20,2134,SNOWMAN,EQ,556036,184342,33.15
20,2135,SOBHA,EQ,106101,29677,27.97
20,2136,SOBHAPP,E1,278,245,88.13
20,2137,SOFTTECH,EQ,7934,5633,71.00
20,2138,SOLARA,EQ,158329,82124,51.87
20,2139,SOLARAPP,E1,14615,9835,67.29
20,2140,SOLARINDS,EQ,44420,17262,38.86
20,2141,SOLEX,SM,21500,13000,60.47
20,2142,SOMANYCERA,EQ,12081,6282,52.00
20,2143,SOMATEX,EQ,130779,56510,43.21
20,2144,SONACOMS,EQ,1557380,1065269,68.40
20,2145,SONAMAC,SM,17000,14000,82.35
20,2146,SONATSOFTW,EQ,288604,104297,36.14
20,2147,SOTL,EQ,42392,18612,43.90
20,2148,SOUTHBANK,EQ,17460277,5593753,32.04
20,2149,SOUTHWEST,EQ,29388,24014,81.71
20,2150,SPAL,EQ,11947,4582,38.35
20,2151,SPANDANA,EQ,211923,104770,49.44
20,2152,SPARC,EQ,799445,215612,26.97
20,2153,SPCENET,EQ,4917562,2910170,59.18
20,2154,SPCL,SM,43200,25200,58.33
20,2155,SPECIALITY,EQ,40053,25734,64.25
20,2156,SPECTRUM,SM,7250,6125,84.48
20,2157,SPECTSTM,SM,12800,9600,75.00
20,2158,SPENCERS,EQ,330308,163289,49.44
20,2159,SPIC,EQ,549959,226618,41.21
20,2160,SPLIL,EQ,17938,7235,40.33
20,2161,SPLPETRO,EQ,40516,16897,41.70
20,2162,SPORTKING,EQ,214323,93451,43.60
20,2163,SPPPOLY,SM,56000,32000,57.14
20,2164,SPRL,ST,1600,1600,100.00
20,2165,SRD,EQ,200691,159235,79.34
20,2166,SREEL,EQ,5530,3077,55.64
20,2167,SRF,EQ,601744,302831,50.33
20,2168,SRGHFL,EQ,2798,1106,39.53
20,2169,SRHHYPOLTD,EQ,96924,29816,30.76
20,2170,SRIVASAVI,SM,26000,21000,80.77
20,2171,SRPL,EQ,6744914,4177957,61.94
20,2172,SSDL,EQ,84556,42425,50.17
20,2173,SSEGL,ST,65000,61000,93.85
20,2174,SSFL,ST,89500,69500,77.65
20,2175,SSWL,EQ,160501,73592,45.85
20,2176,STANLEY,EQ,68233,32358,47.42
20,2177,STAR,EQ,169602,78716,46.41
20,2178,STARCEMENT,EQ,103955,36014,34.64
20,2179,STARHEALTH,EQ,421998,301734,71.50
20,2180,STARPAPER,EQ,8594,5209,60.61
20,2181,STARTECK,EQ,2347,176,7.50
20,2182,STCINDIA,EQ,124075,25932,20.90
20,2183,STEELCAS,EQ,24825,12605,50.78
20,2184,STEELCITY,EQ,13838,7290,52.68
20,2185,STEELXIND,EQ,3114348,883402,28.37
20,2186,STERTOOLS,EQ,141444,53586,37.88
20,2187,STLTECH,EQ,2086779,734834,35.21
20,2188,STOVEKRAFT,EQ,81852,25167,30.75
20,2189,STYLAMIND,EQ,314003,172398,54.90
20,2190,STYLEBAAZA,EQ,145682,67369,46.24
20,2191,STYRENIX,EQ,20873,9726,46.60
20,2192,SUBEXLTD,EQ,1620339,669470,41.32
20,2193,SUBROS,EQ,34992,17715,50.63
20,2194,SUDARSCHEM,EQ,288015,112881,39.19
20,2195,SUKHJITS,EQ,28949,15342,53.00
